Frame,X1,Y1,Flag1,X2,Y2,Flag2,X3,Y3,Flag3,X4,Y4,Flag4,X5,Y5,Flag5,X6,Y6,Flag6,X7,Y7,Flag7,X8,Y8,Flag8,X9,Y9,Flag9,X10,Y10,Flag10,X11,Y11,Flag11,X12,Y12,Flag12,X13,Y13,Flag13,X14,Y14,Flag14,X15,Y15,Flag15,X16,Y16,Flag16,X17,Y17,Flag17,X18,Y18,Flag18,X19,Y19,Flag19,X20,Y20,Flag20,X21,Y21,Flag21,X22,Y22,Flag22,X23,Y23,Flag23,X24,Y24,Flag24,X25,Y25,Flag25,X26,Y26,Flag26,X27,Y27,Flag27,X28,Y28,Flag28,X29,Y29,Flag29,X30,Y30,Flag30,X31,Y31,Flag31,X32,Y32,Flag32,X33,Y33,Flag33,X34,Y34,Flag34,X35,Y35,Flag35,X36,Y36,Flag36,X37,Y37,Flag37,X38,Y38,Flag38,X39,Y39,Flag39,X40,Y40,Flag40,X41,Y41,Flag41,X42,Y42,Flag42,X43,Y43,Flag43,X44,Y44,Flag44,X45,Y45,Flag45,X46,Y46,Flag46,X47,Y47,Flag47,X48,Y48,Flag48,X49,Y49,Flag49,X50,Y50,Flag50,X51,Y51,Flag51,X52,Y52,Flag52,X53,Y53,Flag53,X54,Y54,Flag54,X55,Y55,Flag55,X56,Y56,Flag56,X57,Y57,Flag57,X58,Y58,Flag58,X59,Y59,Flag59,X60,Y60,Flag60,X61,Y61,Flag61,X62,Y62,Flag62,X63,Y63,Flag63,X64,Y64,Flag64,X65,Y65,Flag65,X66,Y66,Flag66,X67,Y67,Flag67,X68,Y68,Flag68,X69,Y69,Flag69,X70,Y70,Flag70,X71,Y71,Flag71,X72,Y72,Flag72,X73,Y73,Flag73,X74,Y74,Flag74,X75,Y75,Flag75
Tracks 1 to 75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,266.76358,12.938859, ,369.64676,32.615303, ,444.5257,7.2965736, ,547.3947,32.89602, ,93.578316,86.71525, ,203.99712,96.60937, ,14.193531,135.46501, ,325.8299,159.96739, ,582.4223,158.1516, ,117.79995,198.85739, ,15.620102,217.78882, ,461.2089,186.42886, ,338.40894,330.1164, ,240.90674,335.82538, ,459.2076,342.77042, ,47.384937,515.5072, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2,268.58115,14.165419, ,369.80222,34.992004, ,444.69907,9.089342, ,547.3407,35.471134, ,96.66814,89.385315, ,207.03967,101.04808, ,14.212619,135.47562, ,327.82147,165.05421, ,581.041,158.93211, ,119.55951,199.85605, ,15.631665,217.74338, ,460.2861,195.00629, ,337.5239,340.29965, ,238.90356,348.5017, ,459.6192,354.40735, ,35.513653,525.9744, ,73.47369,3.5701754, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3,270.3088,15.256662, ,369.62802,38.057564, ,445.9818,11.021957, ,547.19366,38.435535, ,99.705086,92.24351, ,210.30739,105.722694, ,14.207006,135.4533, ,329.61203,170.39238, ,579.8701,159.59114, ,121.46476,200.99796, ,15.617861,217.68262, ,459.2558,203.85654, ,337.00397,350.5085, ,236.27087,361.21158, ,460.3128,366.0088, , , , ,74.01124,4.4606743, ,637.558,55.54348, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,271.9978,16.36463, ,369.1634,41.475105, ,447.52377,13.094595, ,547.01526,41.54035, ,102.68779,95.01319, ,213.70476,110.52169, ,14.265822,135.54324, ,331.41843,176.21452, ,578.64813,160.27553, ,123.517914,202.19806, ,15.632946,217.69905, ,458.25418,213.16522, ,336.8039,360.63016, ,233.09816,374.06708, ,461.26608,378.4569, , , , ,74.88662,5.4962826, ,637.2692,61.384617, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
5,273.2018,17.476673, ,368.4735,45.014538, ,449.56653,15.096914, ,546.77795,44.828674, ,105.580185,97.7028, ,217.14157,115.439026, ,14.357293,135.57555, ,333.12003,182.38983, ,577.4078,160.97974, ,125.74323,203.44635, ,15.640733,217.75607, ,457.2503,222.81552, ,336.94843,370.6406, ,229.4225,387.08554, ,462.68002,391.23404, , , , ,75.344086,6.427419, ,637.0054,67.77957, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
6,274.32993,18.189018, ,367.59073,48.86705, ,451.75797,17.051418, ,546.4741,48.123833, ,108.29348,100.20704, ,220.71736,120.412094, ,14.434306,135.65955, ,334.64456,188.88475, ,576.1012,161.71664, ,128.18068,204.90184, ,15.5753,217.85468, ,456.14758,231.50467, ,337.0845,380.74307, ,225.26962,400.2364, ,464.22366,404.40222, , , , ,75.78457,7.6202407, ,636.4752,73.57438, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
7,275.17163,18.915813, ,366.73666,52.943977, ,454.02615,18.971369, ,546.0542,51.66848, ,111.04137,102.739914, ,224.39359,125.53209, ,14.606886,135.80627, ,336.24054,195.77835, ,574.4431,161.20512, ,130.81122,206.46297, ,15.594339,217.82837, ,453.03387,238.44392, ,337.73416,390.89594, ,220.69771,413.6954, ,465.96295,417.85706, , , , ,75.851265,9.113924, ,635.68536,74.07304, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
8,275.61932,19.864202, ,365.85068,57.325974, ,456.29984,20.771585, ,545.6017,55.238453, ,113.565186,104.97698, ,228.18666,130.84576, ,14.826903,135.89087, ,337.56134,202.85938, ,572.07654,160.8037, ,133.51448,208.05975, ,15.585485,217.77611, ,450.2616,245.95273, ,338.28857,400.98105, ,215.84842,427.28683, ,468.01828,431.45166, , , , ,75.45822,10.655353, ,635.01306,74.18261, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
9,275.89572,20.451931, ,365.01398,61.949657, ,458.33072,22.454308, ,544.9838,58.820312, ,116.151886,107.22924, ,232.04422,136.2694, ,15.03047,136.1084, ,338.89005,210.42865, ,569.6842,161.3435, ,136.47362,209.85748, ,15.519357,217.70015, ,448.24533,254.06499, ,338.89005,411.18967, ,210.75473,440.8689, ,470.2721,445.4644, , , , ,74.80401,12.390868, ,634.5812,74.77306, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
